LSOA code,year,Month_Num,Burglary_Count,IMD SCORE,EMPLOYMENT SCORE,EDUCATION SKILLS AND TRAINING SCORE,INCOME SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,LIVING ENVIRONMENT SCORE,longitude,latitude
E01000005,2018,4,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,5,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,6,4,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,7,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,8,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,10,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,11,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,12,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2019,1,1,28.652,0.136,22.26,0.211,39.9,28.979,-0.0748212891487692,51.512525208583455
E01000005,2019,2,3,28.652,0.136,22.26,0.211,39.9,28.979,-0.0748212891487692,51.512525208583455
E01000005,2019,3,2,28.652,0.136,22.26,0.211,39.9,28.979,-0.0748212891487692,51.512525208583455
