LSOA21CD,Latitude,Longitude
E01000760,51.36697,-0.00142
E01000761,51.35947,0.007606
E01000762,51.39087,0.012672
E01000763,51.38664,0.022777
E01000764,51.38561,0.008647
E01000765,51.37635,0.020959
E01000766,51.37961,0.004879
E01000767,51.37886,0.012031
E01000768,51.37321,0.007746
E01000769,51.38373,-0.03152
E01000770,51.40057,-0.02366
E01000771,51.40211,-0.03393
E01000772,51.40191,-0.01672
E01000773,51.39803,-0.02914
E01000774,51.39622,-0.03974
E01000775,51.39209,-0.02216
E01000777,51.3926,-0.03584
E01000778,51.39199,-0.04286
E01000779,51.4378,0.034202
E01000780,51.43281,0.045994
E01000781,51.43001,0.049105
E01000782,51.42794,0.042712
E01000783,51.42691,0.048607
E01000784,51.42447,0.054467
E01000785,51.42503,0.04461
E01000786,51.36898,0.119724
E01000787,51.37968,0.113924
E01000788,51.37523,0.103373
E01000789,51.3758,0.116246
E01000790,51.37212,0.096218
E01000791,51.37483,0.109936
E01000792,51.37328,0.115282
E01000793,51.36863,0.104924
E01000794,51.36508,0.1014
E01000795,51.36252,0.108062
E01000796,51.41338,-0.06013
E01000797,51.41232,-0.04225
E01000798,51.41319,-0.05507
E01000799,51.4118,-0.05042
E01000800,51.41584,-0.06008
E01000801,51.40877,-0.05517
E01000802,51.41925,-0.05535
E01000803,51.42102,-0.05084
E01000804,51.42052,-0.04108
E01000805,51.41672,-0.04845
E01000806,51.41647,-0.05617
E01000807,51.39572,0.071392
E01000808,51.38373,0.084978
E01000809,51.38503,0.065592
E01000810,51.38792,0.082797
E01000811,51.38612,0.070916
E01000812,51.37979,0.096712
E01000813,51.38292,0.077109
E01000814,51.37698,0.094903
E01000815,51.39183,0.085087
E01000816,51.42542,0.018649
E01000818,51.41813,0.033372
E01000819,51.42019,0.020835
E01000820,51.4155,0.024252
E01000822,51.41438,0.011418
E01000823,51.41202,0.020086
E01000824,51.41215,0.012873
E01000825,51.409,0.024942
E01000826,51.39237,-0.00779
E01000827,51.39287,0.005659
E01000828,51.40098,-0.00142
E01000829,51.39879,0.013077
E01000830,51.39658,-0.01121
E01000831,51.39937,0.004448
E01000832,51.38173,-0.01078
E01000833,51.38904,-0.00292
E01000834,51.38349,0.000234
E01000835,51.37795,-0.01837
E01000836,51.37978,-0.00674
E01000837,51.38206,-0.02137
E01000838,51.37595,-0.00278
E01000839,51.37221,-0.02138
E01000840,51.36836,-0.01236
E01000841,51.37476,-0.01321
E01000842,51.54705,-0.16827
E01000843,51.5473,-0.16232
E01000844,51.54498,-0.17053
E01000845,51.54502,-0.16339
E01000846,51.54348,-0.16536
E01000847,51.5432,-0.16947
E01000848,51.54923,-0.16905
E01000849,51.54963,-0.16505
E01000850,51.52006,-0.13117
E01000851,51.52166,-0.13886
E01000853,51.52468,-0.1249
E01000855,51.51828,-0.12767
E01000856,51.54276,-0.14202
E01000857,51.54155,-0.15903
E01000858,51.54253,-0.14939
E01000859,51.54078,-0.15314
E01000860,51.53889,-0.1574
E01000861,51.53925,-0.1392
E01000862,51.5389,-0.14899
E01000863,51.5393,-0.14355
E01000866,51.54516,-0.13854
E01000867,51.54273,-0.13675
E01000868,51.5427,-0.13
E01000869,51.54688,-0.13036
E01000870,51.54721,-0.13538
E01000871,51.55535,-0.20071
E01000872,51.55356,-0.20846
E01000873,51.55234,-0.20011
E01000874,51.55305,-0.19222
E01000875,51.55052,-0.20473
E01000876,51.54909,-0.20145
E01000877,51.55467,-0.19432
E01000878,51.55588,-0.19145
E01000879,51.55338,-0.17928
E01000880,51.55377,-0.18505
E01000881,51.55052,-0.17667
E01000882,51.54836,-0.1734
E01000883,51.5471,-0.17705
E01000884,51.55978,-0.19269
E01000885,51.55852,-0.1839
E01000886,51.55468,-0.15364
E01000887,51.55452,-0.16314
E01000888,51.5544,-0.15755
E01000889,51.55352,-0.15062
E01000890,51.55209,-0.15637
E01000891,51.55097,-0.15184
E01000892,51.55107,-0.16008
E01000893,51.56015,-0.16694
E01000894,51.55796,-0.17151
E01000895,51.5551,-0.17688
E01000896,51.55556,-0.16979
E01000897,51.55107,-0.17146
E01000898,51.55197,-0.1663
E01000899,51.56397,-0.18007
E01000900,51.54797,-0.15326
E01000901,51.54919,-0.1497
E01000902,51.54818,-0.15575
E01000903,51.54881,-0.1594
E01000904,51.54448,-0.14905
E01000905,51.54608,-0.15201
E01000906,51.5447,-0.15735
E01000907,51.56501,-0.14282
E01000908,51.56398,-0.14602
E01000909,51.56261,-0.1498
E01000910,51.55863,-0.14552
E01000911,51.55805,-0.14248
E01000912,51.56007,-0.15641
E01000913,51.56736,-0.16062
E01000914,51.51899,-0.11715
E01000915,51.52165,-0.11983
E01000916,51.52083,-0.1089
E01000917,51.52043,-0.1108
E01000918,51.51683,-0.12274
E01000919,51.51476,-0.1272
E01000920,51.5232,-0.11566
E01000921,51.55534,-0.13926
E01000922,51.54935,-0.14429
E01000923,51.55362,-0.13803
E01000924,51.55255,-0.13506
E01000925,51.55072,-0.13745
E01000926,51.55008,-0.13199
E01000927,51.54684,-0.14411
E01000928,51.55388,-0.14348
E01000929,51.53753,-0.18681
E01000930,51.53728,-0.19093
E01000931,51.54419,-0.1981
E01000932,51.54331,-0.19502
